2023-10-21 11:23:20.591 | ERROR    | __main__:get_monthly_transactions:81 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2023-10-21 11:23:00.154591', 'Тип': 'Доход', 'Сумма': '2323.0', 'Описание': 'ferfe'}
2023-10-21 11:23:20.591 | INFO     | __main__:get_monthly_transactions:86 - Поиск завершен.
2023-10-21 11:24:22.270 | INFO     | __main__:main:93 - Запуск приложения...
2023-10-21 11:24:22.270 | INFO     | __main__:load_transactions:13 - Загрузка транзакций из файла...
2023-10-21 11:24:22.270 | INFO     | __main__:load_transactions:32 - Баланс загружен. Текущий баланс: 8723.0
2023-10-21 11:24:25.013 | ERROR    | __main__:main:108 - Ошибка: введенная сумма дохода не является числом.
2023-10-21 11:26:02.903 | INFO     | __main__:log_transaction:35 - Запись новой транзакции: Тип - Доход, Сумма - 1212.0, Описание - 1
2023-10-21 11:26:02.904 | INFO     | __main__:log_transaction:67 - Транзакция записана. Текущий баланс: 8601.8
2023-10-21 11:26:14.719 | INFO     | __main__:main:90 - Запуск приложения...
2023-10-21 11:26:14.719 | INFO     | __main__:load_transactions:13 - Загрузка транзакций из файла...
2023-10-21 11:26:14.719 | INFO     | __main__:load_transactions:29 - Баланс загружен. Текущий баланс: 0
2023-10-21 11:26:19.695 | INFO     | __main__:log_transaction:32 - Запись новой транзакции: Тип - Доход, Сумма - 10.0, Описание - 1
2023-10-21 11:26:19.696 | INFO     | __main__:log_transaction:64 - Транзакция записана. Текущий баланс: -1.0
2023-10-21 11:27:25.211 | INFO     | __main__:log_transaction:32 - Запись новой транзакции: Тип - Расход, Сумма - 1000.0, Описание - df
2023-10-21 11:27:25.212 | INFO     | __main__:log_transaction:64 - Транзакция записана. Текущий баланс: -101.0
2023-10-21 11:28:50.428 | INFO     | __main__:main:86 - Запуск приложения...
2023-10-21 11:28:50.428 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2023-10-21 11:28:50.429 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: -990.0
2023-10-21 11:28:54.755 | INFO     | __main__:main:86 - Запуск приложения...
2023-10-21 11:28:54.756 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2023-10-21 11:28:54.756 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: -990.0
2023-10-21 11:28:55.550 | INFO     | __main__:main:86 - Запуск приложения...
2023-10-21 11:28:55.550 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2023-10-21 11:28:55.551 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: -990.0
2023-10-21 11:29:02.891 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 1000.0, Описание - мама дала
2023-10-21 11:29:02.892 | INFO     | __main__:log_transaction:61 - Транзакция записана. Текущий баланс: -1090.0
2023-10-21 11:29:10.720 | INFO     | __main__:get_monthly_transactions:66 - Поиск транзакций за текущий месяц (месяц 0)...
2023-10-21 11:29:10.723 | ERROR    | __main__:get_monthly_transactions:75 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2023-10-21 11:26:19.696222', 'Тип': 'Доход', 'Сумма': '10.0', 'Описание': '1'}
2023-10-21 11:29:10.723 | ERROR    | __main__:get_monthly_transactions:75 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2023-10-21 11:27:25.211106', 'Тип': 'Расход', 'Сумма': '1000.0', 'Описание': 'df'}
2023-10-21 11:29:10.723 | ERROR    | __main__:get_monthly_transactions:75 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2023-10-21 11:29:02.891203', 'Тип': 'Доход', 'Сумма': '1000.0', 'Описание': 'мама дала'}
2023-10-21 11:29:10.723 | INFO     | __main__:get_monthly_transactions:80 - Поиск завершен.
2023-10-21 11:29:12.460 | INFO     | __main__:get_monthly_transactions:66 - Поиск транзакций за текущий месяц (месяц 0)...
2023-10-21 11:29:12.461 | ERROR    | __main__:get_monthly_transactions:75 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2023-10-21 11:26:19.696222', 'Тип': 'Доход', 'Сумма': '10.0', 'Описание': '1'}
2023-10-21 11:29:12.461 | ERROR    | __main__:get_monthly_transactions:75 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2023-10-21 11:27:25.211106', 'Тип': 'Расход', 'Сумма': '1000.0', 'Описание': 'df'}
2023-10-21 11:29:12.461 | ERROR    | __main__:get_monthly_transactions:75 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2023-10-21 11:29:02.891203', 'Тип': 'Доход', 'Сумма': '1000.0', 'Описание': 'мама дала'}
2023-10-21 11:29:12.461 | INFO     | __main__:get_monthly_transactions:80 - Поиск завершен.
2026-03-04 19:54:27.058 | INFO     | __main__:main:81 - Запуск приложения...
2026-03-04 19:54:27.060 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2026-03-04 19:54:27.062 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: 0
2026-03-04 19:55:40.053 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 100.0, Описание - Home task
2026-03-04 19:58:31.532 | INFO     | __main__:main:81 - Запуск приложения...
2026-03-04 19:58:31.532 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2026-03-04 19:58:31.534 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: 0
2026-03-04 19:58:47.136 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 100.0, Описание - Home task
2026-03-04 19:58:47.138 | INFO     | __main__:log_transaction:59 - Транзакция записана. Текущий баланс: -10.0
2026-03-04 20:00:05.515 | INFO     | __main__:main:81 - Запуск приложения...
2026-03-04 20:00:05.516 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2026-03-04 20:00:05.518 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: 100.0
2026-03-04 20:00:15.771 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 100.0, Описание - Home task
2026-03-04 20:00:15.772 | INFO     | __main__:log_transaction:59 - Транзакция записана. Текущий баланс: 100.0
2026-03-04 20:00:42.599 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Расход, Сумма - 10.0, Описание - Candy
2026-03-04 20:00:42.600 | INFO     | __main__:log_transaction:59 - Транзакция записана. Текущий баланс: 100.0
2026-03-04 20:01:40.300 | INFO     | __main__:main:77 - Запуск приложения...
2026-03-04 20:01:40.300 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2026-03-04 20:01:40.300 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: 190.0
2026-03-04 20:01:48.624 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 100.0, Описание - Home task
2026-03-04 20:01:48.625 | INFO     | __main__:log_transaction:55 - Транзакция записана. Текущий баланс: 290.0
2026-03-04 20:02:25.177 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Расход, Сумма - 10.0, Описание - Candy
2026-03-04 20:02:25.179 | INFO     | __main__:log_transaction:55 - Транзакция записана. Текущий баланс: 280.0
2026-03-04 20:02:34.027 | INFO     | __main__:get_monthly_transactions:59 - Поиск транзакций за текущий месяц (месяц 0)...
2026-03-04 20:02:34.032 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 19:58:47.137549', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:02:34.034 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:00:15.772115', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:02:34.034 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:00:42.599416', 'Тип': 'Расход', 'Сумма': '10.0', 'Описание': 'Candy'}
2026-03-04 20:02:34.034 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:01:48.624515', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:02:34.034 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:02:25.177952', 'Тип': 'Расход', 'Сумма': '10.0', 'Описание': 'Candy'}
2026-03-04 20:02:34.034 | INFO     | __main__:get_monthly_transactions:71 - Поиск завершен.
2026-03-04 20:08:41.046 | INFO     | __main__:main:77 - Запуск приложения...
2026-03-04 20:08:41.046 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2026-03-04 20:08:41.050 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: 280.0
2026-03-04 20:08:59.488 | INFO     | __main__:get_monthly_transactions:59 - Поиск транзакций за текущий месяц (месяц 0)...
2026-03-04 20:08:59.503 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 19:58:47.137549', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:08:59.504 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:00:15.772115', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:08:59.504 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:00:42.599416', 'Тип': 'Расход', 'Сумма': '10.0', 'Описание': 'Candy'}
2026-03-04 20:08:59.504 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:01:48.624515', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:08:59.504 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:02:25.177952', 'Тип': 'Расход', 'Сумма': '10.0', 'Описание': 'Candy'}
2026-03-04 20:08:59.504 | INFO     | __main__:get_monthly_transactions:71 - Поиск завершен.
2026-03-04 20:09:24.203 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 20.0, Описание - Quick task
2026-03-04 20:09:24.205 | INFO     | __main__:log_transaction:55 - Транзакция записана. Текущий баланс: 300.0
2026-03-04 20:09:28.804 | INFO     | __main__:get_monthly_transactions:59 - Поиск транзакций за текущий месяц (месяц 0)...
2026-03-04 20:09:28.805 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 19:58:47.137549', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:09:28.806 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:00:15.772115', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:09:28.806 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:00:42.599416', 'Тип': 'Расход', 'Сумма': '10.0', 'Описание': 'Candy'}
2026-03-04 20:09:28.806 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:01:48.624515', 'Тип': 'Доход', 'Сумма': '100.0', 'Описание': 'Home task'}
2026-03-04 20:09:28.806 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:02:25.177952', 'Тип': 'Расход', 'Сумма': '10.0', 'Описание': 'Candy'}
2026-03-04 20:09:28.806 | ERROR    | __main__:get_monthly_transactions:67 - Ошибка при чтении транзакции: неверный формат даты. Запись: {'Дата': '2026-03-04 20:09:24.204643', 'Тип': 'Доход', 'Сумма': '20.0', 'Описание': 'Quick task'}
2026-03-04 20:09:28.807 | INFO     | __main__:get_monthly_transactions:71 - Поиск завершен.
2026-03-04 20:23:36.414 | INFO     | __main__:main:77 - Запуск приложения...
2026-03-04 20:23:36.414 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2026-03-04 20:23:36.415 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: 300.0
2026-03-04 20:23:44.367 | INFO     | __main__:get_monthly_transactions:59 - Поиск транзакций за текущий месяц (месяц 3)...
2026-03-04 20:23:44.382 | INFO     | __main__:get_monthly_transactions:71 - Поиск завершен.
2026-03-04 20:24:06.328 | INFO     | __main__:main:118 - Завершение приложения.
